Unidade,Curso,Modalidade,Classificação na carreira,Nota na 1° fase,"Nota na 2° fase, 1° dia","Nota na 2° fase, 2° dia",Nota da redação,Qual o seu ano de ingresso?,Nota final,Envie aqui o espelho da sua redação,Chamada,Classificação no curso de ingresso,Forma de ingresso,Ciências da Natureza,Matemática,Linguagens,Ciências Humanas,Redação,Nota na Competência 1,Nota na Competência 2,Nota na Competência 3,Nota na Competência 4,Nota na Competência 5,Nota final.1,Envie aqui o espelho da sua redação.1
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",4.0,50.0,58.0,58.0,31.5,2020,500.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),24.0,53.0,60.2,50.0,34.7,2020,563.52,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),17.0,53.0,65.0,49.2,35.0,2020,576.85,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),16.0,54.0,64.0,64.0,36.5,2020,577.22,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",1.0,65.0,59.0,43.3,30.0,2020,581.85,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),14.0,56.0,68.5,45.0,41.5,2020,585.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),12.0,58.0,67.0,45.8,34.5,2020,590.93,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),11.0,65.0,58.5,49.2,30.0,2020,599.63,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),10.0,55.0,68.5,50.8,43.0,2020,601.48,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),71.0,63.0,65.5,62.5,35.5,2020,660.0,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),72.0,66.0,65.5,59.2,41.5,2020,660.0,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),70.0,58.0,69.5,64.2,36.5,2020,660.37,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),69.0,67.0,61.5,62.5,28.0,2020,661.48,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),66.0,62.0,70.0,60.8,43.0,2020,665.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),3.0,60.0,71.5,61.7,38.0,2020,666.11,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),2.0,53.0,77.5,64.2,41.5,2020,668.52,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),56.0,69.0,69.0,56.7,36.5,2020,674.44,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),57.0,69.0,64.0,61.7,33.0,2020,674.44,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),54.0,71.0,58.0,65.8,35.0,2020,675.74,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),52.0,61.0,69.5,65.8,38.5,2020,677.4,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),50.0,62.0,69.0,65.8,42.0,2020,679.07,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),38.0,67.0,78.5,52.5,48.0,2020,684.81,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),37.0,62.0,65.0,71.7,33.0,2020,685.19,,,,Fuvest,,,,,,,,,,,,
