ano,nota,c1,c2,c3,c4,c5,drive_id,url
2019,880,160.0,180.0,200.0,180.0,160.0,154-xrk5XA5FjtvgJxAkCG-2dLWZLwp0s,https://drive.google.com/file/d/154-xrk5XA5FjtvgJxAkCG-2dLWZLwp0s/view
2019,900,160.0,200.0,200.0,160.0,180.0,1JCZrzP4ZAAMkmV6usdnrL8ppbS8qePQV,https://drive.google.com/file/d/1JCZrzP4ZAAMkmV6usdnrL8ppbS8qePQV/view
2019,840,140.0,180.0,160.0,180.0,180.0,1YrWMfyafkwtj7RWuXCaAKaqsFjU3Oofu,https://drive.google.com/file/d/1YrWMfyafkwtj7RWuXCaAKaqsFjU3Oofu/view
2020,960,,,,,,1KMUjWmAvDhZ1KptJ-RQxb6Ib7wPBjJd8,https://drive.google.com/file/d/1KMUjWmAvDhZ1KptJ-RQxb6Ib7wPBjJd8/view
2020,980,180.0,200.0,200.0,200.0,200.0,1cwqtAmVzEmV0IzBcvAr9QezH7MjUgHcF,https://drive.google.com/file/d/1cwqtAmVzEmV0IzBcvAr9QezH7MjUgHcF/view
2020,840,140.0,180.0,160.0,180.0,180.0,1m526zzzAR0KcYI2Y2o5bCCHXAiysV9F8,https://drive.google.com/file/d/1m526zzzAR0KcYI2Y2o5bCCHXAiysV9F8/view
2020,820,160.0,180.0,160.0,160.0,160.0,1ZVALeAnYxOqqnAe2Vt2JlUpOfCjIQkOp,https://drive.google.com/file/d/1ZVALeAnYxOqqnAe2Vt2JlUpOfCjIQkOp/view
2021,980,180.0,200.0,200.0,200.0,200.0,1TiLakiML9k0x7LGpQh69yqFYEPYDBEpS,https://drive.google.com/file/d/1TiLakiML9k0x7LGpQh69yqFYEPYDBEpS/view
2021,920,160.0,200.0,160.0,200.0,200.0,114wpRG2vpPXsi-_oWu3T7iamcCHlledF,https://drive.google.com/file/d/114wpRG2vpPXsi-_oWu3T7iamcCHlledF/view
2021,940,160.0,200.0,180.0,200.0,200.0,1YdOys0aBm9ZJvTwBXVkMR2Dt7Tx_fhGg,https://drive.google.com/file/d/1YdOys0aBm9ZJvTwBXVkMR2Dt7Tx_fhGg/view
2021,920,160.0,200.0,180.0,180.0,200.0,1S1oSJ2SWuVatCSnwrCvMPbWtjD8_PQBc,https://drive.google.com/file/d/1S1oSJ2SWuVatCSnwrCvMPbWtjD8_PQBc/view
2021,940,180.0,180.0,180.0,200.0,200.0,1wqdGAjSxxQgfdhkTLaYQMeNBtTAne3CV,https://drive.google.com/file/d/1wqdGAjSxxQgfdhkTLaYQMeNBtTAne3CV/view
2021,940,160.0,200.0,180.0,200.0,200.0,1U9HdVZr11EtPXX0Y1Z8cVsSPKLV24_W_,https://drive.google.com/file/d/1U9HdVZr11EtPXX0Y1Z8cVsSPKLV24_W_/view
2021,940,160.0,200.0,180.0,200.0,200.0,19acd7zWYTzFQME3otPJheoPu01He4Ocn,https://drive.google.com/file/d/19acd7zWYTzFQME3otPJheoPu01He4Ocn/view
2020,660,140.0,120.0,160.0,120.0,120.0,1rZWD5yrcsR35tK3bzpZY-sCgjP074VoB,https://drive.google.com/file/d/1rZWD5yrcsR35tK3bzpZY-sCgjP074VoB/view
2021,960,160.0,200.0,200.0,200.0,200.0,1hokIHwjrd4cIfhchfARGYg0o0K2mDgea,https://drive.google.com/file/d/1hokIHwjrd4cIfhchfARGYg0o0K2mDgea/view
2021,940,160.0,200.0,200.0,180.0,200.0,1Ltxa6YhHde1S1vNlo4FSIkU0PQSRzHd7,https://drive.google.com/file/d/1Ltxa6YhHde1S1vNlo4FSIkU0PQSRzHd7/view
